## Yaksa Times ##
Buf Counts		Time(us)
0         		0.297000
1         		0.987000
2         		0.938000
4         		0.934000
8         		0.939000
16        		0.941000
32        		0.955000
64        		0.940000
128       		0.905000
256       		0.930000
512       		0.929000
1024      		0.979000
2048      		1.138000
4096      		1.736000
8192      		2.494000
16384     		4.201000
32768     		8.085000
65536     		17.374000
131072    		35.526000
262144    		70.336000
524288    		148.530000
1048576   		322.280000
2097152   		1425.300000
4194304   		2297.710000
8388608   		5238.590000
16777216  		10899.120000
33554432  		22244.350000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.260000
1         		0.244000
2         		0.274000
4         		0.266000
8         		0.237000
16        		0.237000
32        		0.244000
64        		0.249000
128       		0.246000
256       		0.251000
512       		0.286000
1024      		0.318000
2048      		0.553000
4096      		1.067000
8192      		1.801000
16384     		3.378000
32768     		7.484000
65536     		16.451000
131072    		34.506000
262144    		68.332000
524288    		146.400000
1048576   		314.250000
2097152   		1382.620000
4194304   		2243.700000
8388608   		5194.630000
16777216  		10883.330000
33554432  		22255.230000
