## Yaksa Times ##
Buf Counts		Time(us)
0         		0.255000
1         		0.594000
2         		0.603000
4         		0.604000
8         		0.603000
16        		0.581000
32        		0.608000
64        		0.605000
128       		0.552000
256       		0.602000
512       		0.573000
1024      		0.635000
2048      		0.855000
4096      		1.410000
8192      		2.220000
16384     		3.820000
32768     		7.624000
65536     		16.093000
131072    		32.790000
262144    		65.042000
524288    		138.180000
1048576   		306.790000
2097152   		1367.730000
4194304   		2260.060000
8388608   		5201.330000
16777216  		10758.040000
33554432  		21955.540000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.230000
1         		0.243000
2         		0.265000
4         		0.271000
8         		0.256000
16        		0.243000
32        		0.265000
64        		0.243000
128       		0.242000
256       		0.260000
512       		0.277000
1024      		0.328000
2048      		0.536000
4096      		1.076000
8192      		1.853000
16384     		3.291000
32768     		7.046000
65536     		16.114000
131072    		32.563000
262144    		63.823000
524288    		137.530000
1048576   		300.050000
2097152   		1363.140000
4194304   		2300.350000
8388608   		5121.680000
16777216  		10717.690000
33554432  		21946.480000
