## Yaksa Times ##
Buf Counts		Time(us)
0         		0.260000
1         		0.619000
2         		0.600000
4         		0.620000
8         		0.619000
16        		0.623000
32        		0.670000
64        		0.605000
128       		0.610000
256       		0.597000
512       		0.604000
1024      		0.618000
2048      		0.874000
4096      		1.481000
8192      		2.294000
16384     		3.853000
32768     		7.922000
65536     		17.127000
131072    		34.269000
262144    		67.943000
524288    		143.990000
1048576   		311.150000
2097152   		1417.310000
4194304   		2331.290000
8388608   		5272.970000
16777216  		10931.810000
33554432  		21964.980000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.249000
1         		0.249000
2         		0.258000
4         		0.273000
8         		0.260000
16        		0.248000
32        		0.256000
64        		0.245000
128       		0.243000
256       		0.159000
512       		0.272000
1024      		0.325000
2048      		0.544000
4096      		1.138000
8192      		1.856000
16384     		3.220000
32768     		7.054000
65536     		17.217000
131072    		33.623000
262144    		67.064000
524288    		142.420000
1048576   		312.170000
2097152   		1352.480000
4194304   		2335.720000
8388608   		5238.380000
16777216  		10840.800000
33554432  		21912.470000
