## Yaksa Times ##
Buf Counts		Time(us)
0         		0.258000
1         		0.938000
2         		0.888000
4         		0.829000
8         		0.846000
16        		0.811000
32        		0.797000
64        		0.791000
128       		0.751000
256       		0.767000
512       		0.833000
1024      		0.847000
2048      		1.053000
4096      		1.578000
8192      		2.404000
16384     		4.077000
32768     		7.661000
65536     		17.660000
131072    		35.582000
262144    		70.358000
524288    		148.440000
1048576   		322.060000
2097152   		1438.800000
4194304   		2293.380000
8388608   		5220.020000
16777216  		10933.170000
33554432  		22257.980000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.205000
1         		0.267000
2         		0.286000
4         		0.225000
8         		0.232000
16        		0.241000
32        		0.224000
64        		0.216000
128       		0.211000
256       		0.225000
512       		0.259000
1024      		0.177000
2048      		0.496000
4096      		1.019000
8192      		1.701000
16384     		3.209000
32768     		6.898000
65536     		16.489000
131072    		34.209000
262144    		68.295000
524288    		145.650000
1048576   		313.930000
2097152   		1381.320000
4194304   		2244.610000
8388608   		5201.620000
16777216  		10891.330000
33554432  		22263.760000
