## Yaksa Times ##
Buf Counts		Time(us)
0         		0.261000
1         		0.970000
2         		0.918000
4         		0.890000
8         		0.861000
16        		0.856000
32        		0.827000
64        		0.811000
128       		0.871000
256       		0.784000
512       		0.812000
1024      		0.868000
2048      		1.098000
4096      		1.584000
8192      		2.219000
16384     		3.754000
32768     		7.558000
65536     		16.344000
131072    		33.028000
262144    		65.331000
524288    		138.570000
1048576   		304.440000
2097152   		1406.910000
4194304   		2317.980000
8388608   		5259.530000
16777216  		10834.750000
33554432  		21990.630000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.235000
1         		0.256000
2         		0.236000
4         		0.224000
8         		0.220000
16        		0.216000
32        		0.221000
64        		0.204000
128       		0.198000
256       		0.219000
512       		0.256000
1024      		0.279000
2048      		0.511000
4096      		0.992000
8192      		1.605000
16384     		2.986000
32768     		6.799000
65536     		15.466000
131072    		32.203000
262144    		64.217000
524288    		137.420000
1048576   		305.130000
2097152   		1369.180000
4194304   		2303.360000
8388608   		5138.080000
16777216  		10750.170000
33554432  		22007.450000
