## Yaksa Times ##
Buf Counts		Time(us)
0         		0.262000
1         		0.965000
2         		0.909000
4         		0.880000
8         		0.885000
16        		0.913000
32        		0.892000
64        		0.892000
128       		0.891000
256       		0.849000
512       		0.875000
1024      		0.885000
2048      		1.142000
4096      		1.716000
8192      		2.497000
16384     		4.081000
32768     		7.862000
65536     		17.956000
131072    		35.467000
262144    		70.288000
524288    		148.550000
1048576   		336.100000
2097152   		1432.720000
4194304   		2393.250000
8388608   		5339.090000
16777216  		10956.790000
33554432  		22306.240000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.241000
1         		0.247000
2         		0.233000
4         		0.233000
8         		0.262000
16        		0.258000
32        		0.243000
64        		0.259000
128       		0.255000
256       		0.268000
512       		0.256000
1024      		0.302000
2048      		0.541000
4096      		1.096000
8192      		1.795000
16384     		3.265000
32768     		6.921000
65536     		16.533000
131072    		34.507000
262144    		68.995000
524288    		147.180000
1048576   		332.060000
2097152   		1426.280000
4194304   		2388.640000
8388608   		5237.520000
16777216  		10918.480000
33554432  		22280.180000
